[2023-01-13 10:25:47,143: INFO] Приложение запущено
[2023-01-13 10:25:49,229: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:25:50,260: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:25:50,275: ERROR] Ошибка отправки данных
Traceback (most recent call last):
  File "c:\Users\CrazyBubo\Desktop\2.2\app.py", line 305, in sock_stream
    self.server.send(sending_data)
  File "c:\Users\CrazyBubo\Desktop\2.2\app.py", line 84, in send
    self.connection.send(data)
AttributeError: 'NoneType' object has no attribute 'send'
[2023-01-13 10:25:51,282: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:25:52,298: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:25:53,313: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:25:54,315: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:25:55,317: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:25:56,330: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:25:57,331: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:25:58,333: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:25:59,334: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:26:00,336: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:26:01,349: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:26:02,352: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:26:03,354: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:26:04,355: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:26:05,358: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:26:06,363: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:26:07,366: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:26:08,369: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:26:09,378: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:26:10,380: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:26:11,382: WARNING] Повторное чтение данных устройства с адресом 1
